n b_n
0.000000000000000000e+00 2.724761187047520794e-01
1.000000000000000000e+00 1.504833945473146350e+01
2.000000000000000000e+00 1.126582461284822934e+01
3.000000000000000000e+00 4.855120006600137827e+01
4.000000000000000000e+00 7.275087204984565403e+01
5.000000000000000000e+00 1.013974160691637678e+02
6.000000000000000000e+00 1.403607679481947343e+02
7.000000000000000000e+00 1.582907837723560647e+02
8.000000000000000000e+00 2.060588387396281860e+02
9.000000000000000000e+00 2.217646118281024599e+02
1.000000000000000000e+01 2.596106336120531637e+02
1.100000000000000000e+01 3.032825995647779678e+02
1.200000000000000000e+01 2.996440360808954892e+02
1.300000000000000000e+01 3.772118135979955014e+02
1.400000000000000000e+01 3.746761612110246915e+02
1.500000000000000000e+01 4.167136448265371769e+02
1.600000000000000000e+01 4.416850403650799421e+02
1.700000000000000000e+01 5.001935165585385334e+02
1.800000000000000000e+01 4.932751463475466949e+02
1.900000000000000000e+01 5.448321795343312033e+02
2.000000000000000000e+01 5.686386599151635437e+02
2.100000000000000000e+01 6.256887184813436988e+02
2.200000000000000000e+01 6.215567992439472391e+02
2.300000000000000000e+01 6.682752518678629485e+02
2.400000000000000000e+01 6.891293457687999080e+02
2.500000000000000000e+01 7.503115262969422474e+02
2.600000000000000000e+01 7.594330690358556240e+02
2.700000000000000000e+01 7.935596572422753070e+02
2.800000000000000000e+01 8.065551690262694819e+02
2.900000000000000000e+01 8.722231339039656177e+02
3.000000000000000000e+01 8.678925874579958872e+02
3.100000000000000000e+01 9.806785214237914943e+02
3.200000000000000000e+01 8.616264523129407280e+02
3.300000000000000000e+01 1.077574283243199716e+03
3.400000000000000000e+01 9.129983673361347201e+02
3.500000000000000000e+01 1.081091176952045771e+03
3.600000000000000000e+01 1.170681563966674275e+03
3.700000000000000000e+01 8.882387096807490252e+02
3.800000000000000000e+01 1.421082972082219840e+03
3.900000000000000000e+01 8.829386595317835145e+02
