n b_n
0.000000000000000000e+00 2.383429744699115116e-01
1.000000000000000000e+00 1.707002744249182413e+01
2.000000000000000000e+00 1.050501848589825649e+01
3.000000000000000000e+00 4.962201316853803235e+01
4.000000000000000000e+00 7.148641137539715373e+01
5.000000000000000000e+00 1.006163774031472542e+02
6.000000000000000000e+00 1.455650187471935908e+02
7.000000000000000000e+00 1.552457573523149392e+02
8.000000000000000000e+00 2.018627279695254799e+02
9.000000000000000000e+00 2.308065696755089107e+02
1.000000000000000000e+01 2.460622387299883087e+02
1.100000000000000000e+01 3.159150485379436191e+02
1.200000000000000000e+01 2.987438140397239863e+02
1.300000000000000000e+01 3.748869302462497899e+02
1.400000000000000000e+01 3.616041712321353430e+02
1.500000000000000000e+01 4.428583159812521330e+02
1.600000000000000000e+01 4.261386498059951009e+02
1.700000000000000000e+01 4.871119415677769098e+02
1.800000000000000000e+01 5.098375345138148305e+02
1.900000000000000000e+01 5.583469090861700579e+02
2.000000000000000000e+01 5.544682180639545095e+02
2.100000000000000000e+01 6.090367214720440643e+02
2.200000000000000000e+01 6.400296601372676832e+02
2.300000000000000000e+01 6.804151121395186692e+02
2.400000000000000000e+01 6.690140864302571799e+02
2.500000000000000000e+01 7.537588974277017542e+02
2.600000000000000000e+01 7.458174650735609248e+02
2.700000000000000000e+01 8.207224453085927962e+02
2.800000000000000000e+01 8.014194354653625396e+02
2.900000000000000000e+01 8.627999132988948077e+02
3.000000000000000000e+01 8.833293634767255753e+02
3.100000000000000000e+01 9.350227748270599477e+02
3.200000000000000000e+01 9.307647825332381899e+02
3.300000000000000000e+01 9.975164381376661140e+02
3.400000000000000000e+01 9.966171148755549893e+02
3.500000000000000000e+01 1.072532543110400866e+03
3.600000000000000000e+01 1.039170063624910881e+03
3.700000000000000000e+01 1.130244992647767731e+03
3.800000000000000000e+01 1.141872386110371053e+03
3.900000000000000000e+01 1.137546792187334859e+03
