n b_n
0.000000000000000000e+00 1.912365430303503810e+00
1.000000000000000000e+00 1.683997245144106092e+00
2.000000000000000000e+00 2.002995196533976952e+00
3.000000000000000000e+00 1.884355680172766556e+00
4.000000000000000000e+00 2.138002125154988331e+00
5.000000000000000000e+00 2.058244401423976910e+00
6.000000000000000000e+00 2.315359537609343654e+00
7.000000000000000000e+00 2.237296638039603991e+00
8.000000000000000000e+00 2.481927907066439065e+00
9.000000000000000000e+00 2.416048424204879641e+00
1.000000000000000000e+01 2.668583773690106131e+00
1.100000000000000000e+01 2.627651458105868976e+00
1.200000000000000000e+01 2.912596001066391160e+00
1.300000000000000000e+01 2.897144341358617758e+00
1.400000000000000000e+01 3.188864128272752119e+00
1.500000000000000000e+01 3.173430769169619303e+00
1.600000000000000000e+01 3.450121649243349520e+00
1.700000000000000000e+01 3.383813564461648493e+00
1.800000000000000000e+01 3.662127452724433851e+00
1.900000000000000000e+01 3.491161489548508357e+00
2.000000000000000000e+01 3.841889064665949594e+00
2.100000000000000000e+01 3.632424512121903870e+00
2.200000000000000000e+01 3.947328335451967707e+00
2.300000000000000000e+01 3.818079439106247808e+00
2.400000000000000000e+01 4.036860672481692447e+00
2.500000000000000000e+01 3.978880575000393716e+00
2.600000000000000000e+01 4.127320451120266576e+00
2.700000000000000000e+01 4.105327573341486236e+00
2.800000000000000000e+01 4.263531717168738133e+00
2.900000000000000000e+01 4.154420948730579433e+00
3.000000000000000000e+01 4.414035234969240662e+00
3.100000000000000000e+01 4.250288833072498385e+00
3.200000000000000000e+01 4.535303672091363758e+00
3.300000000000000000e+01 4.382458454582785379e+00
3.400000000000000000e+01 4.584688197168324209e+00
3.500000000000000000e+01 4.447445859212677099e+00
3.600000000000000000e+01 4.621856673398681004e+00
3.700000000000000000e+01 4.521062292562867846e+00
3.800000000000000000e+01 4.739574342644327309e+00
3.900000000000000000e+01 4.597691890310047214e+00
4.000000000000000000e+01 4.720811341055012988e+00
4.100000000000000000e+01 4.541803495539130431e+00
4.200000000000000000e+01 4.677105703207784515e+00
4.300000000000000000e+01 4.543412936023579540e+00
4.400000000000000000e+01 4.689388647181534253e+00
4.500000000000000000e+01 4.555490547474315477e+00
4.600000000000000000e+01 4.674427495834751589e+00
4.700000000000000000e+01 4.540799473413213327e+00
4.800000000000000000e+01 4.671961313558998796e+00
4.900000000000000000e+01 4.574328063588620985e+00
5.000000000000000000e+01 4.703770874953843162e+00
5.100000000000000000e+01 4.521794636235611620e+00
5.200000000000000000e+01 4.620192457733503844e+00
5.300000000000000000e+01 4.527910851395406056e+00
5.400000000000000000e+01 4.664530515420589829e+00
5.500000000000000000e+01 4.542645371408611688e+00
5.600000000000000000e+01 4.629108283826102621e+00
5.700000000000000000e+01 4.500688432638268566e+00
5.800000000000000000e+01 4.650545233565886782e+00
5.900000000000000000e+01 4.556662592896968178e+00
6.000000000000000000e+01 4.706819208235444307e+00
6.100000000000000000e+01 4.616160705966629862e+00
6.200000000000000000e+01 4.716485347729437727e+00
6.300000000000000000e+01 4.596037129854529724e+00
6.400000000000000000e+01 4.645821196861370517e+00
6.500000000000000000e+01 4.576442522225289800e+00
6.600000000000000000e+01 4.714257435236571148e+00
6.700000000000000000e+01 4.619314346625406742e+00
