n b_n
0.000000000000000000e+00 2.366414718421675278e+00
1.000000000000000000e+00 2.244416574772367667e+00
2.000000000000000000e+00 2.980062200514496773e+00
3.000000000000000000e+00 2.687672949879031492e+00
4.000000000000000000e+00 3.560177830767469409e+00
5.000000000000000000e+00 3.436442337259279611e+00
6.000000000000000000e+00 4.262477152075669906e+00
7.000000000000000000e+00 4.154505762761164789e+00
8.000000000000000000e+00 4.764798327077355289e+00
9.000000000000000000e+00 4.640556391469217168e+00
1.000000000000000000e+01 5.186829026445965773e+00
1.100000000000000000e+01 5.060707724378545436e+00
1.200000000000000000e+01 5.637944415095668127e+00
1.300000000000000000e+01 5.469504820745267892e+00
1.400000000000000000e+01 5.930057848489571626e+00
1.500000000000000000e+01 5.705939059724382645e+00
1.600000000000000000e+01 6.066667220423073381e+00
1.700000000000000000e+01 5.737559545701298447e+00
1.800000000000000000e+01 5.976124638702569491e+00
1.900000000000000000e+01 5.718871602744195037e+00
2.000000000000000000e+01 5.952490780478289167e+00
2.100000000000000000e+01 5.724241421172347799e+00
2.200000000000000000e+01 5.937316950075761213e+00
2.300000000000000000e+01 5.713855299490364636e+00
2.400000000000000000e+01 5.938078650128161051e+00
2.500000000000000000e+01 5.704075078987260738e+00
2.600000000000000000e+01 5.925293252426550694e+00
2.700000000000000000e+01 5.699839780179510207e+00
2.800000000000000000e+01 5.915095388240151131e+00
2.900000000000000000e+01 5.704922366080935170e+00
3.000000000000000000e+01 5.914581881751251657e+00
3.100000000000000000e+01 5.712158627574798864e+00
3.200000000000000000e+01 5.897923309178661810e+00
3.300000000000000000e+01 5.700154048210428037e+00
3.400000000000000000e+01 5.901021869176109824e+00
3.500000000000000000e+01 5.726735411993020719e+00
3.600000000000000000e+01 5.916677002442870759e+00
3.700000000000000000e+01 5.742969092532853814e+00
3.800000000000000000e+01 5.919347565319400317e+00
3.900000000000000000e+01 5.757739209595111873e+00
4.000000000000000000e+01 5.935990329154530620e+00
4.100000000000000000e+01 5.765354114606395797e+00
4.200000000000000000e+01 5.930708818056796616e+00
4.300000000000000000e+01 5.764799280593278397e+00
4.400000000000000000e+01 5.927278345510843316e+00
4.500000000000000000e+01 5.760625740381323467e+00
4.600000000000000000e+01 5.895458656697888600e+00
4.700000000000000000e+01 5.724172347562394236e+00
4.800000000000000000e+01 5.883070330731357878e+00
4.900000000000000000e+01 5.737941759143983411e+00
5.000000000000000000e+01 5.886019619188771479e+00
5.100000000000000000e+01 5.735106705831291229e+00
5.200000000000000000e+01 5.863402153551890095e+00
5.300000000000000000e+01 5.708855328843483790e+00
5.400000000000000000e+01 5.861911402999041343e+00
5.500000000000000000e+01 5.750316750291532664e+00
5.600000000000000000e+01 5.912598621145969346e+00
5.700000000000000000e+01 5.779805754435608733e+00
5.800000000000000000e+01 5.902185591715648272e+00
5.900000000000000000e+01 5.764958321141643971e+00
6.000000000000000000e+01 5.886571527183637187e+00
6.100000000000000000e+01 5.739416181810883089e+00
6.200000000000000000e+01 5.856004344222432323e+00
6.300000000000000000e+01 5.723356281386263511e+00
6.400000000000000000e+01 5.854093434963732356e+00
6.500000000000000000e+01 5.747245156087909201e+00
6.600000000000000000e+01 5.882280941216280645e+00
6.700000000000000000e+01 5.771618690529262352e+00
