n b_n
0.000000000000000000e+00 1.831668720908402381e+00
1.000000000000000000e+00 1.654023419816842422e+00
2.000000000000000000e+00 1.956900217423737987e+00
3.000000000000000000e+00 1.862555368447671000e+00
4.000000000000000000e+00 2.114005779520137018e+00
5.000000000000000000e+00 2.043609931138532954e+00
6.000000000000000000e+00 2.286490798700731908e+00
7.000000000000000000e+00 2.222841647184451208e+00
8.000000000000000000e+00 2.437647586934557076e+00
9.000000000000000000e+00 2.371569375176691974e+00
1.000000000000000000e+01 2.596085483923297410e+00
1.100000000000000000e+01 2.538202116980055933e+00
1.200000000000000000e+01 2.766759331916597286e+00
1.300000000000000000e+01 2.729321554748477041e+00
1.400000000000000000e+01 2.956394867123846026e+00
1.500000000000000000e+01 2.903737050772193573e+00
1.600000000000000000e+01 3.107961813575352394e+00
1.700000000000000000e+01 2.904651556978664839e+00
1.800000000000000000e+01 3.316499046106252013e+00
1.900000000000000000e+01 2.912904020610137312e+00
2.000000000000000000e+01 3.117152925149657250e+00
2.100000000000000000e+01 3.029519353610794052e+00
2.200000000000000000e+01 3.047990262701901987e+00
2.300000000000000000e+01 3.036898604784062261e+00
2.400000000000000000e+01 3.133735070011721913e+00
2.500000000000000000e+01 2.931972018400482938e+00
2.600000000000000000e+01 3.149706372323923809e+00
2.700000000000000000e+01 2.915719447252258512e+00
2.800000000000000000e+01 3.110162337933337628e+00
2.900000000000000000e+01 2.985310961954672937e+00
3.000000000000000000e+01 3.151875406905260135e+00
3.100000000000000000e+01 2.984311852360016726e+00
3.200000000000000000e+01 3.128910112290668621e+00
3.300000000000000000e+01 2.990467897387945051e+00
3.400000000000000000e+01 3.128661659161028119e+00
3.500000000000000000e+01 2.967697710741912243e+00
3.600000000000000000e+01 3.115550197191635728e+00
3.700000000000000000e+01 3.026297682002430989e+00
3.800000000000000000e+01 3.146396719462352110e+00
3.900000000000000000e+01 2.998136668291718987e+00
4.000000000000000000e+01 3.128265293969096028e+00
4.100000000000000000e+01 2.998184138972317836e+00
4.200000000000000000e+01 3.115947638383757656e+00
4.300000000000000000e+01 2.995412367761647765e+00
4.400000000000000000e+01 3.121879542238443328e+00
4.500000000000000000e+01 2.973579869785992091e+00
4.600000000000000000e+01 3.101793452842756427e+00
4.700000000000000000e+01 3.030895458063492143e+00
4.800000000000000000e+01 3.081908453764286904e+00
4.900000000000000000e+01 3.003235440550550805e+00
5.000000000000000000e+01 3.071960073235405542e+00
5.100000000000000000e+01 2.956986109718341194e+00
5.200000000000000000e+01 3.104797602185350947e+00
5.300000000000000000e+01 2.988035416237595054e+00
5.400000000000000000e+01 3.120731593976000973e+00
5.500000000000000000e+01 3.003125436236340651e+00
5.600000000000000000e+01 3.102252013382381435e+00
5.700000000000000000e+01 3.021601202911717632e+00
5.800000000000000000e+01 3.138633175749465209e+00
5.900000000000000000e+01 3.030138810018599749e+00
6.000000000000000000e+01 3.105434529868784210e+00
6.100000000000000000e+01 3.014211157049546674e+00
6.200000000000000000e+01 3.103585222788780573e+00
6.300000000000000000e+01 2.983633504456542962e+00
6.400000000000000000e+01 3.073674397391079616e+00
6.500000000000000000e+01 2.960679108560526629e+00
6.600000000000000000e+01 3.103240003159320803e+00
6.700000000000000000e+01 3.011472138747724792e+00
