omega tau_O
0.000000000000000000e+00 2.103265428056314779e+00
2.000000000000000111e-01 1.811412095451220505e+00
4.000000000000000222e-01 1.797723441423147106e+00
6.000000000000000888e-01 1.287812737408582597e+00
8.000000000000000444e-01 9.390596841351784851e-01
1.000000000000000000e+00 8.373730861460966235e-01
1.200000000000000178e+00 6.902599747190396595e-01
1.400000000000000133e+00 6.606769191474697323e-01
1.600000000000000089e+00 6.664409278215703836e-01
1.800000000000000044e+00 6.876755636711712194e-01
2.000000000000000000e+00 6.624456526768667253e-01
2.200000000000000178e+00 6.838331522449224709e-01
2.400000000000000355e+00 6.823840543837835781e-01
2.600000000000000089e+00 5.919232795764115540e-01
2.800000000000000266e+00 5.761666407570660287e-01
3.000000000000000000e+00 4.542116405198650120e-01
3.200000000000000178e+00 3.536822084042136050e-01
3.400000000000000355e+00 2.284842423757615926e-01
3.600000000000000089e+00 1.128249942287706253e-01
3.800000000000000266e+00 4.221439016265886995e-02
4.000000000000000000e+00 1.117006698759870353e-02
4.200000000000000178e+00 2.508703391614165723e-03
4.400000000000000355e+00 5.086360784343244923e-04
4.600000000000000533e+00 9.022277759707080381e-05
4.800000000000000711e+00 1.428227454867149811e-05
5.000000000000000000e+00 1.998887265362957753e-06
5.200000000000000178e+00 2.839085551183011793e-07
5.400000000000000355e+00 4.147034412360613883e-08
5.600000000000000533e+00 6.185441113198007920e-09
5.800000000000000711e+00 9.739164517126815827e-10
6.000000000000000000e+00 1.568790990175859976e-10
6.200000000000000178e+00 2.547313685747827177e-11
6.400000000000000355e+00 4.345548039672916101e-12
6.600000000000000533e+00 6.390569309104006066e-13
6.800000000000000711e+00 1.030117017344274305e-13
7.000000000000000000e+00 1.123475401982745467e-14
7.200000000000000178e+00 1.336340986770989929e-15
7.400000000000000355e+00 1.257688685420601131e-16
7.600000000000000533e+00 9.369004006904063998e-18
7.800000000000000711e+00 7.852406174570081992e-19
8.000000000000000000e+00 6.400954083871635534e-20
8.200000000000001066e+00 3.193917473059494567e-21
8.400000000000000355e+00 1.353955291213485493e-22
8.599999999999999645e+00 1.037787322926088792e-23
8.800000000000000711e+00 2.827516562950596347e-25
9.000000000000000000e+00 1.036333037660095797e-26
9.200000000000001066e+00 6.951181528434660797e-28
9.400000000000000355e+00 1.262388660976536546e-30
9.600000000000001421e+00 0.000000000000000000e+00
9.800000000000000711e+00 0.000000000000000000e+00
1.000000000000000000e+01 0.000000000000000000e+00
