omega tau_O
0.000000000000000000e+00 1.665620406515415430e+00
2.000000000000000111e-01 2.010885906758081987e+00
4.000000000000000222e-01 1.457374275832317823e+00
6.000000000000000888e-01 1.232238443875918632e+00
8.000000000000000444e-01 1.103281950617747142e+00
1.000000000000000000e+00 9.944876410510200548e-01
1.200000000000000178e+00 9.075279082707988776e-01
1.400000000000000133e+00 8.497762600092694241e-01
1.600000000000000089e+00 8.009855942460022415e-01
1.800000000000000044e+00 7.331072651813991259e-01
2.000000000000000000e+00 6.439237247571208966e-01
2.200000000000000178e+00 5.471037918111532061e-01
2.400000000000000355e+00 4.640088114014992993e-01
2.600000000000000089e+00 3.991237913335743959e-01
2.800000000000000266e+00 3.544713899737453322e-01
3.000000000000000000e+00 3.283437518843844161e-01
3.200000000000000178e+00 3.154194081645360637e-01
3.400000000000000355e+00 2.971661183812929763e-01
3.600000000000000089e+00 2.627084281423870959e-01
3.800000000000000266e+00 2.132156956131718017e-01
4.000000000000000000e+00 1.650732865552778372e-01
4.200000000000000178e+00 1.220813799659226373e-01
4.400000000000000355e+00 8.531601199752207598e-02
4.600000000000000533e+00 5.594775201300554446e-02
4.800000000000000711e+00 3.517071832263637260e-02
5.000000000000000000e+00 2.092888162809783056e-02
5.200000000000000178e+00 1.150346593903416384e-02
5.400000000000000355e+00 5.900050711915193029e-03
5.600000000000000533e+00 2.892855910886195196e-03
5.800000000000000711e+00 1.390981718517348168e-03
6.000000000000000000e+00 6.681229905941344412e-04
6.200000000000000178e+00 3.319316997413701976e-04
6.400000000000000355e+00 1.709565216185563667e-04
6.600000000000000533e+00 8.976950508371978987e-05
6.800000000000000711e+00 4.718159108400772931e-05
7.000000000000000000e+00 2.468854420382542722e-05
7.200000000000000178e+00 1.370668525968645370e-05
7.400000000000000355e+00 7.687362345187792676e-06
7.600000000000000533e+00 4.213642112684487393e-06
7.800000000000000711e+00 2.251001888338770185e-06
8.000000000000000000e+00 1.163049065126500902e-06
8.200000000000001066e+00 5.726826426759128816e-07
8.400000000000000355e+00 2.669036327429582017e-07
8.599999999999999645e+00 1.238239887813917522e-07
8.800000000000000711e+00 5.690024659018223549e-08
9.000000000000000000e+00 2.409210770358544532e-08
9.200000000000001066e+00 1.045924397606058202e-08
9.400000000000000355e+00 4.212887954048341947e-09
9.600000000000001421e+00 1.659683548542254949e-09
9.800000000000000711e+00 6.382554275709280251e-10
1.000000000000000000e+01 2.347515192634842655e-10
