omega tau_O
0.000000000000000000e+00 1.287424596251805164e+00
2.000000000000000111e-01 1.051676256158938116e+00
4.000000000000000222e-01 1.031561682420915504e+00
6.000000000000000888e-01 7.298675727228030041e-01
8.000000000000000444e-01 5.063950782313212384e-01
1.000000000000000000e+00 4.426907794720806311e-01
1.200000000000000178e+00 3.503098321223426792e-01
1.400000000000000133e+00 3.133182893967227378e-01
1.600000000000000089e+00 2.934135195382704397e-01
1.800000000000000044e+00 2.855612063277195301e-01
2.000000000000000000e+00 2.605579377269671704e-01
2.200000000000000178e+00 2.114901258827252550e-01
2.400000000000000355e+00 2.254334749761990053e-01
2.600000000000000089e+00 1.779427271756046647e-01
2.800000000000000266e+00 1.451570946442426457e-01
3.000000000000000000e+00 1.271779228989149968e-01
3.200000000000000178e+00 7.003479891230278420e-02
3.400000000000000355e+00 4.543072433752050332e-02
3.600000000000000089e+00 1.851473623759779599e-02
3.800000000000000266e+00 5.847241732875117781e-03
4.000000000000000000e+00 1.649112439396438609e-03
4.200000000000000178e+00 3.520686732690275831e-04
4.400000000000000355e+00 6.953231220114548100e-05
4.600000000000000533e+00 1.096523282474304199e-05
4.800000000000000711e+00 1.819994824894115071e-06
5.000000000000000000e+00 1.713810361952167316e-07
5.200000000000000178e+00 2.285654406560903236e-08
5.400000000000000355e+00 3.148244700690371274e-09
5.600000000000000533e+00 2.918160309316933087e-10
5.800000000000000711e+00 4.449460834474367336e-11
6.000000000000000000e+00 4.134428147295884303e-12
6.200000000000000178e+00 4.120198629963657882e-13
6.400000000000000355e+00 0.000000000000000000e+00
6.600000000000000533e+00 0.000000000000000000e+00
6.800000000000000711e+00 0.000000000000000000e+00
7.000000000000000000e+00 0.000000000000000000e+00
7.200000000000000178e+00 0.000000000000000000e+00
7.400000000000000355e+00 0.000000000000000000e+00
7.600000000000000533e+00 0.000000000000000000e+00
7.800000000000000711e+00 0.000000000000000000e+00
8.000000000000000000e+00 0.000000000000000000e+00
8.200000000000001066e+00 0.000000000000000000e+00
8.400000000000000355e+00 0.000000000000000000e+00
8.599999999999999645e+00 0.000000000000000000e+00
8.800000000000000711e+00 0.000000000000000000e+00
9.000000000000000000e+00 0.000000000000000000e+00
9.200000000000001066e+00 0.000000000000000000e+00
9.400000000000000355e+00 0.000000000000000000e+00
9.600000000000001421e+00 0.000000000000000000e+00
9.800000000000000711e+00 0.000000000000000000e+00
1.000000000000000000e+01 0.000000000000000000e+00
